SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,URL,cluster
UCLA,RL Grime,77,0.727,0.832,9,-4.327,0,0.0366,0.181,0.0,0.0615,0.213,127.035,177856,https://i.scdn.co/image/ab67616d0000b273ca68767b46b7b794e8633450,2
The Bender (with Brando),Matoma,76,0.423,0.634,6,-5.877,0,0.0578,0.196,0.0,0.189,0.467,150.978,195840,https://i.scdn.co/image/ab67616d0000b27393a94aa67f5021ad56ed8fa1,2
Sweet Time,Porter Robinson,66,0.702,0.709,0,-6.138,0,0.0836,0.189,0.000432,0.225,0.635,118.189,154576,https://i.scdn.co/image/ab67616d0000b2733583ee367f5456ac587654f9,2
Big Love (with EARTHGANG & MNDR),Louis The Child,85,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,183726,https://i.scdn.co/image/ab67616d0000b273e3f5de1e0dc2f8574eba1448,2
Lost,ILLENIUM,66,0.584,0.607,11,-6.605,1,0.0356,0.426,0.0,0.101,0.374,117.817,194827,https://i.scdn.co/image/ab67616d0000b273fd4ccaa0be6ceddd41f57eb3,0
Someone To You,BANNERS,52,0.9,0.649,2,-6.365,1,0.197,0.00378,2.06e-06,0.0873,0.658,93.99,173640,https://i.scdn.co/image/ab67616d0000b273f1bff89049561177b7cccebb,2
Dernière Danse,Yves V,82,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.367,130.97,190534,https://i.scdn.co/image/ab67616d0000b2734ae8ff731c49965bf2083405,2
Summer Air,Hardwell,76,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,https://i.scdn.co/image/ab67616d0000b273f36bfc7610838555198073f3,2
Impossible,Shontelle,62,0.541,0.653,5,-5.954,1,0.04,0.00531,0.0,0.126,0.264,123.854,212468,https://i.scdn.co/image/ab67616d0000b273192221f838b7b6b9cb4629bf,2
Get Together,David Guetta,74,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,221507,https://i.scdn.co/image/ab67616d0000b27302e56b9b5767b13dc2c51c70,2
